what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362317802586
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1362317805300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317807391
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317808233
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362317813303
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362317816845
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1362317817907
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362317822996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317834930
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317837816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317848081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317848190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317850577
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317854149
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362317854149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362317855631
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362317855818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317857487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317867300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317869780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362317870467
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362317872775
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1362317872775
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362317879797
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1362317880874
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362317886275
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362317901204
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362318003368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362318003524
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362318006504
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362318006676
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362318006816
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362318006972
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1362318007097
