what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.integration,12.0.0.263,"com.altera.sbtgui.integration",1362589928749
started,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1362589928749
started,bundle,com.altera.sbtgui.project,12.0.0.263,"com.altera.sbtgui.project",1362589928749
started,bundle,com.altera.systemconsole,12.0.0.263,"com.altera.systemconsole",1362589928749
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.263,"com.altera.systemconsole.designs.plugin",1362589928749
started,bundle,com.altera.systemconsole.scripting,12.0.0.263,"com.altera.systemconsole.scripting",1362589928749
started,bundle,com.altera.utilities,12.0.0.263,"com.altera.utilities",1362589928749
started,bundle,org.eclipse.egit.core,2.1.0.201209190230-r,"org.eclipse.egit.core",1362589928749
started,bundle,org.eclipse.egit.ui,2.1.0.201209190230-r,"org.eclipse.egit.ui",1362589928749
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1362589928749
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1362589928749
started,bundle,org.eclipse.jgit,2.1.0.201209190230-r,"org.eclipse.jgit",1362589928749
os,sysinfo,,,"win32",1362589928749
arch,sysinfo,,,"x86",1362589928749
ws,sysinfo,,,"win32",1362589928749
locale,sysinfo,,,"en_CA",1362589928749
processors,sysinfo,,,"4",1362589928749
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362589928749
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1362589928749
java.specification.name,sysinfo,,,"Java Platform API Specification",1362589928749
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362589928749
java.specification.version,sysinfo,,,"1.6",1362589928749
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1362589928749
java.version,sysinfo,,,"1.6.0_23",1362589928749
java.vm.info,sysinfo,,,"mixed mode",1362589928749
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1362589928749
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362589928749
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362589928749
java.vm.specification.version,sysinfo,,,"1.0",1362589928749
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1362589928749
java.vm.version,sysinfo,,,"19.0-b09",1362589928749
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362589955613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590006230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590015834
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590016723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590017253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590017815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590019718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590035256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590043399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590054085
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362590054132
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590056573
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590058021
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1362590060552
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1362590061992
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1362590061993
started,bundle,com.altera.sbtgui.core,12.0.0.263,"com.altera.sbtgui.core",1362590061999
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362590062121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590066343
opened,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362590069388
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1362590069698
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1362590069722
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1362590069723
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1362590069724
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1362590069745
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1362590073897
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/Users/danny/Documents/GitHub/Project2/software/StereoSystem/StereoSystem.elf] return code: 4, 'other error'",1362590078729
error,log,,,"Downloading ELF Process failed",1362590078731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362590150041
